,from,to,link_type
364,Ranatra varipes,Xenus cinereus,0
365,Anisops campbelli,Xenus cinereus,0
366,Hydrovatus confertus,Xenus cinereus,0
367,Macrobrachium malcolmsonii,Xenus cinereus,0
368,Macrobrachium rosenbergii,Xenus cinereus,0
369,Macrobrachium rude,Xenus cinereus,0
370,Macrobrachium equidens,Xenus cinereus,0
371,Macrobrachium malcolmsonii,Tringa ochropus,0
372,Macrobrachium rosenbergii,Tringa ochropus,0
373,Macrobrachium rude,Tringa ochropus,0
374,Macrobrachium equidens,Tringa ochropus,0
375,Diplonychus annulatus,Tringa ochropus,0
376,Diplonychus rusticus,Tringa ochropus,0
377,Aquarius adelaides,Tringa ochropus,0
378,Limnogonus fossarum,Tringa ochropus,0
379,Laccotrephes griseus,Tringa ochropus,0
380,Laccotrephes ruber,Tringa ochropus,0
381,Ranatra elongata,Tringa ochropus,0
382,Ranatra filiformis,Tringa ochropus,0
383,Ranatra varipes,Tringa ochropus,0
384,Anisops campbelli,Tringa ochropus,0
385,Hydrovatus confertus,Tringa ochropus,0
386,Tadploes,Tringa nebularia,0
387,Macrobrachium malcolmsonii,Tringa nebularia,0
388,Macrobrachium rosenbergii,Tringa nebularia,0
389,Macrobrachium rude,Tringa nebularia,0
390,Macrobrachium equidens,Tringa nebularia,0
391,Diplonychus annulatus,Tringa nebularia,0
392,Diplonychus rusticus,Tringa nebularia,0
393,Aquarius adelaides,Tringa nebularia,0
394,Limnogonus fossarum,Tringa nebularia,0
395,Laccotrephes griseus,Tringa nebularia,0
396,Laccotrephes ruber,Tringa nebularia,0
397,Ranatra elongata,Tringa nebularia,0
398,Ranatra filiformis,Tringa nebularia,0
399,Ranatra varipes,Tringa nebularia,0
400,Anisops campbelli,Tringa nebularia,0
401,Hydrovatus confertus,Tringa nebularia,0
402,Macrobrachium malcolmsonii,Tringa stagnatilis,0
403,Macrobrachium rosenbergii,Tringa stagnatilis,0
404,Macrobrachium rude,Tringa stagnatilis,0
405,Macrobrachium equidens,Tringa stagnatilis,0
406,Diplonychus annulatus,Tringa stagnatilis,0
407,Diplonychus rusticus,Tringa stagnatilis,0
408,Aquarius adelaides,Tringa stagnatilis,0
409,Limnogonus fossarum,Tringa stagnatilis,0
410,Laccotrephes griseus,Tringa stagnatilis,0
411,Laccotrephes ruber,Tringa stagnatilis,0
412,Ranatra elongata,Tringa stagnatilis,0
413,Ranatra filiformis,Tringa stagnatilis,0
414,Ranatra varipes,Tringa stagnatilis,0
415,Anisops campbelli,Tringa stagnatilis,0
416,Hydrovatus confertus,Tringa stagnatilis,0
417,Parambassis baculis,Tringa glareola,0
418,Aplocheilus panchax,Tringa glareola,0
419,Badis badis,Tringa glareola,0
420,Puntius vittatus,Tringa glareola,0
421,Rasbora daniconius,Tringa glareola,0
422,Pethia phutunio,Tringa glareola,0
423,Trichogaster lalius,Tringa glareola,0
424,Trichogaster fasciata,Tringa glareola,0
425,Macrobrachium malcolmsonii,Tringa glareola,0
426,Macrobrachium rosenbergii,Tringa glareola,0
427,Macrobrachium rude,Tringa glareola,0
428,Macrobrachium equidens,Tringa glareola,0
429,Big fish juveniles,Tringa glareola,0
430,Diplonychus annulatus,Tringa tetanus,0
431,Diplonychus rusticus,Tringa tetanus,0
432,Aquarius adelaides,Tringa tetanus,0
433,Limnogonus fossarum,Tringa tetanus,0
434,Laccotrephes griseus,Tringa tetanus,0
435,Laccotrephes ruber,Tringa tetanus,0
436,Ranatra elongata,Tringa tetanus,0
437,Ranatra filiformis,Tringa tetanus,0
438,Ranatra varipes,Tringa tetanus,0
439,Anisops campbelli,Tringa tetanus,0
440,Hydrovatus confertus,Tringa tetanus,0
441,Parambassis baculis,Chroicocephalus brunnicephalus,0
442,Aplocheilus panchax,Chroicocephalus brunnicephalus,0
443,Badis badis,Chroicocephalus brunnicephalus,0
444,Puntius vittatus,Chroicocephalus brunnicephalus,0
445,Rasbora daniconius,Chroicocephalus brunnicephalus,0
446,Pethia phutunio,Chroicocephalus brunnicephalus,0
447,Trichogaster lalius,Chroicocephalus brunnicephalus,0
