"","PREY_sp","PREDATOR_sp"
"377","Ranatra elongata","Ardea intermedia"
"378","Ranatra filiformis","Ardea intermedia"
"379","Ranatra varipes","Ardea intermedia"
"380","Anisops campbelli","Ardea intermedia"
"381","Hydrovatus confertus","Ardea intermedia"
"382","Big fish juveniles","Ardea intermedia"
"383","Parambassis baculis","Egretta garzetta"
"384","Aplocheilus panchax","Egretta garzetta"
"385","Badis badis","Egretta garzetta"
"386","Puntius vittatus","Egretta garzetta"
"387","Rasbora daniconius","Egretta garzetta"
"388","Pethia phutunio","Egretta garzetta"
"389","Trichogaster lalius","Egretta garzetta"
"390","Trichogaster fasciata","Egretta garzetta"
"391","Duttaphrynus melanostictus","Egretta garzetta"
"392","Duttaphrynus scaber","Egretta garzetta"
"393","Fejervarya orissaensis","Egretta garzetta"
"394","Minervarya agricola","Egretta garzetta"
"395","Minervarya pierrei","Egretta garzetta"
"396","Euphlyctis cyanophlyctis","Egretta garzetta"
"397","Hoplobatrachus tigerinus","Egretta garzetta"
"398","Hoplobatrachus crassus","Egretta garzetta"
"399","Sphaerotheca breviceps","Egretta garzetta"
"400","Sphaerotheca rolandae","Egretta garzetta"
"401","Microhyla mymensinghensis","Egretta garzetta"
"402","Uperodon systoma","Egretta garzetta"
"403","Hylarana tytleri","Egretta garzetta"
"404","Polypedates maculatus","Egretta garzetta"
"405","Diplonychus annulatus","Egretta garzetta"
"406","Diplonychus rusticus","Egretta garzetta"
"407","Aquarius adelaides","Egretta garzetta"
"408","Limnogonus fossarum","Egretta garzetta"
"409","Laccotrephes griseus","Egretta garzetta"
"410","Laccotrephes ruber","Egretta garzetta"
"411","Ranatra elongata","Egretta garzetta"
"412","Ranatra filiformis","Egretta garzetta"
"413","Ranatra varipes","Egretta garzetta"
"414","Anisops campbelli","Egretta garzetta"
"415","Hydrovatus confertus","Egretta garzetta"
"416","Macrobrachium malcolmsonii","Egretta garzetta"
"417","Macrobrachium rosenbergii","Egretta garzetta"
"418","Macrobrachium rude","Egretta garzetta"
"419","Macrobrachium equidens","Egretta garzetta"
"420","Big fish juveniles","Egretta garzetta"
"421","Parambassis baculis","Bubulcus ibis"
"422","Aplocheilus panchax","Bubulcus ibis"
"423","Badis badis","Bubulcus ibis"
"424","Puntius vittatus","Bubulcus ibis"
"425","Rasbora daniconius","Bubulcus ibis"
"426","Pethia phutunio","Bubulcus ibis"
"427","Trichogaster lalius","Bubulcus ibis"
"428","Trichogaster fasciata","Bubulcus ibis"
"429","Diplonychus annulatus","Bubulcus ibis"
"430","Diplonychus rusticus","Bubulcus ibis"
"431","Aquarius adelaides","Bubulcus ibis"
