"","PREY_sp","PREDATOR_sp"
"387","Pethia phutunio","Mycteria leucocephala"
"388","Glossogobius giuris","Mycteria leucocephala"
"389","Heteropneustes fossilis","Mycteria leucocephala"
"390","Macrognathus pancalus","Mycteria leucocephala"
"391","Mastacembelus armatus","Mycteria leucocephala"
"392","Notopterus notopterus","Mycteria leucocephala"
"393","Trichogaster lalius","Mycteria leucocephala"
"394","Trichogaster fasciata","Mycteria leucocephala"
"395","Duttaphrynus melanostictus","Mycteria leucocephala"
"396","Duttaphrynus scaber","Mycteria leucocephala"
"397","Fejervarya orissaensis","Mycteria leucocephala"
"398","Minervarya agricola","Mycteria leucocephala"
"399","Minervarya pierrei","Mycteria leucocephala"
"400","Euphlyctis cyanophlyctis","Mycteria leucocephala"
"401","Hoplobatrachus tigerinus","Mycteria leucocephala"
"402","Hoplobatrachus crassus","Mycteria leucocephala"
"403","Uperodon systoma","Mycteria leucocephala"
"404","Polypedates maculatus","Mycteria leucocephala"
"405","Diplonychus annulatus","Mycteria leucocephala"
"406","Diplonychus rusticus","Mycteria leucocephala"
"407","Aquarius adelaides","Mycteria leucocephala"
"408","Limnogonus fossarum","Mycteria leucocephala"
"409","Laccotrephes griseus","Mycteria leucocephala"
"410","Laccotrephes ruber","Mycteria leucocephala"
"411","Ranatra elongata","Mycteria leucocephala"
"412","Ranatra filiformis","Mycteria leucocephala"
"413","Ranatra varipes","Mycteria leucocephala"
"414","Anisops campbelli","Mycteria leucocephala"
"415","Hydrovatus confertus","Mycteria leucocephala"
"416","Big fish juveniles","Mycteria leucocephala"
"417","Parambassis baculis","Microcarbo niger"
"418","Aplocheilus panchax","Microcarbo niger"
"419","Badis badis","Microcarbo niger"
"420","Puntius vittatus","Microcarbo niger"
"421","Rasbora daniconius","Microcarbo niger"
"422","Pethia phutunio","Microcarbo niger"
"423","Trichogaster lalius","Microcarbo niger"
"424","Trichogaster fasciata","Microcarbo niger"
"425","Duttaphrynus melanostictus","Microcarbo niger"
"426","Duttaphrynus scaber","Microcarbo niger"
"427","Fejervarya orissaensis","Microcarbo niger"
"428","Minervarya agricola","Microcarbo niger"
"429","Minervarya pierrei","Microcarbo niger"
"430","Euphlyctis cyanophlyctis","Microcarbo niger"
"431","Hoplobatrachus tigerinus","Microcarbo niger"
"432","Hoplobatrachus crassus","Microcarbo niger"
"433","Uperodon systoma","Microcarbo niger"
