"","PREY_sp","PREDATOR_sp"
"330","Ranatra elongata","Amaurornis phoenicurus"
"331","Ranatra filiformis","Amaurornis phoenicurus"
"332","Ranatra varipes","Amaurornis phoenicurus"
"333","Anisops campbelli","Amaurornis phoenicurus"
"334","Hydrovatus confertus","Amaurornis phoenicurus"
"335","Parambassis baculis","Amaurornis phoenicurus"
"336","Aplocheilus panchax","Amaurornis phoenicurus"
"337","Badis badis","Amaurornis phoenicurus"
"338","Puntius vittatus","Amaurornis phoenicurus"
"339","Rasbora daniconius","Amaurornis phoenicurus"
"340","Pethia phutunio","Amaurornis phoenicurus"
"341","Trichogaster lalius","Amaurornis phoenicurus"
"342","Trichogaster fasciata","Amaurornis phoenicurus"
"343","Pila globosa","Amaurornis phoenicurus"
"344","Filopaludina bengalensis","Amaurornis phoenicurus"
"345","Melanoides tuberculata","Amaurornis phoenicurus"
"346","Tarebia lineata","Amaurornis phoenicurus"
"347","Bithynia pulchella","Amaurornis phoenicurus"
"348","Gabbia orcula","Amaurornis phoenicurus"
"349","Radix rufescens","Amaurornis phoenicurus"
"350","Racesina luteola","Amaurornis phoenicurus"
"351","Gyraulus barrackporensis","Amaurornis phoenicurus"
"352","Gyraulus convexiusculus","Amaurornis phoenicurus"
"353","Gyraulus euphraticus","Amaurornis phoenicurus"
"354","Indoplanorbis exustus","Amaurornis phoenicurus"
"355","Big fish juveniles","Amaurornis phoenicurus"
"356","Pila globosa","Himantopus himantopus"
"357","Filopaludina bengalensis","Himantopus himantopus"
"358","Melanoides tuberculata","Himantopus himantopus"
"359","Tarebia lineata","Himantopus himantopus"
"360","Bithynia pulchella","Himantopus himantopus"
"361","Gabbia orcula","Himantopus himantopus"
"362","Radix rufescens","Himantopus himantopus"
"363","Racesina luteola","Himantopus himantopus"
"364","Gyraulus barrackporensis","Himantopus himantopus"
"365","Gyraulus convexiusculus","Himantopus himantopus"
"366","Gyraulus euphraticus","Himantopus himantopus"
"367","Indoplanorbis exustus","Himantopus himantopus"
"368","Diplonychus annulatus","Himantopus himantopus"
"369","Diplonychus rusticus","Himantopus himantopus"
"370","Aquarius adelaides","Himantopus himantopus"
"371","Limnogonus fossarum","Himantopus himantopus"
"372","Laccotrephes griseus","Himantopus himantopus"
"373","Laccotrephes ruber","Himantopus himantopus"
"374","Ranatra elongata","Himantopus himantopus"
"375","Ranatra filiformis","Himantopus himantopus"
"376","Ranatra varipes","Himantopus himantopus"
"377","Anisops campbelli","Himantopus himantopus"
"378","Hydrovatus confertus","Himantopus himantopus"
"379","Pila globosa","Pluvialis fulva"
"380","Filopaludina bengalensis","Pluvialis fulva"
"381","Melanoides tuberculata","Pluvialis fulva"
"382","Tarebia lineata","Pluvialis fulva"
"383","Bithynia pulchella","Pluvialis fulva"
"384","Gabbia orcula","Pluvialis fulva"
"385","Radix rufescens","Pluvialis fulva"
"386","Racesina luteola","Pluvialis fulva"
"387","Gyraulus barrackporensis","Pluvialis fulva"
"388","Gyraulus convexiusculus","Pluvialis fulva"
"389","Gyraulus euphraticus","Pluvialis fulva"
"390","Indoplanorbis exustus","Pluvialis fulva"
"391","Diplonychus annulatus","Pluvialis fulva"
"392","Diplonychus rusticus","Pluvialis fulva"
"393","Aquarius adelaides","Pluvialis fulva"
"394","Limnogonus fossarum","Pluvialis fulva"
"395","Laccotrephes griseus","Pluvialis fulva"
"396","Laccotrephes ruber","Pluvialis fulva"
"397","Ranatra elongata","Pluvialis fulva"
"398","Ranatra filiformis","Pluvialis fulva"
