"","PREY_sp","PREDATOR_sp"
"540","Ranatra elongata","Bubulcus ibis"
"541","Ranatra filiformis","Bubulcus ibis"
"542","Ranatra varipes","Bubulcus ibis"
"543","Anisops campbelli","Bubulcus ibis"
"544","Hydrovatus confertus","Bubulcus ibis"
"545","Big fish juveniles","Bubulcus ibis"
"546","Parambassis baculis","Ardeola grayii"
"547","Aplocheilus panchax","Ardeola grayii"
"548","Badis badis","Ardeola grayii"
"549","Puntius vittatus","Ardeola grayii"
"550","Rasbora daniconius","Ardeola grayii"
"551","Pethia phutunio","Ardeola grayii"
"552","Trichogaster lalius","Ardeola grayii"
"553","Trichogaster fasciata","Ardeola grayii"
"554","Duttaphrynus melanostictus","Ardeola grayii"
"555","Duttaphrynus scaber","Ardeola grayii"
"556","Fejervarya orissaensis","Ardeola grayii"
"557","Minervarya agricola","Ardeola grayii"
"558","Minervarya pierrei","Ardeola grayii"
"559","Euphlyctis cyanophlyctis","Ardeola grayii"
"560","Hoplobatrachus tigerinus","Ardeola grayii"
"561","Hoplobatrachus crassus","Ardeola grayii"
"562","Sphaerotheca breviceps","Ardeola grayii"
"563","Sphaerotheca rolandae","Ardeola grayii"
"564","Microhyla mymensinghensis","Ardeola grayii"
"565","Uperodon systoma","Ardeola grayii"
